time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.48323e+09,0,01,01,1.399,6.985,5.294,-174.9,0.011,-0.058,0.236,1.967,147.59,1.09,6.739,159.02,0.844,6.031,-125.03,159.02,8.39,6.69881
1.48323e+09,1,01,01,1.384,6.908,5.17,-177.42,0.018,-0.06,0.278,2.098,145.1,1.088,6.723,159.54,0.802,5.996,-125.2,158.99,8.39,6.48366
1.48324e+09,2,01,01,1.368,6.773,4.992,-179.72,0.025,-0.065,0.324,2.201,144.49,1.083,6.645,159.95,0.76,5.94,-125.36,159.02,8.39,6.21083
1.48324e+09,3,01,01,1.354,6.603,4.828,178,0.029,-0.068,0.389,2.403,144.23,1.068,6.63,160.69,0.719,5.86,-125.56,159.06,8.39,5.93164
1.48324e+09,4,01,01,1.343,6.419,4.687,175.66,0.033,-0.071,0.452,2.579,144.58,1.056,6.497,161.67,0.673,5.992,-125.81,159.08,8.39,5.67304
1.48325e+09,5,01,01,1.335,6.236,4.546,173.23,0.038,-0.075,0.524,2.773,145.39,1.033,6.48,162.8,0.63,5.988,-126.16,159.02,7.627,5.44584
1.48325e+09,6,01,01,1.326,6.059,4.441,170.76,0.041,-0.077,0.572,2.882,144.38,1.02,6.39,163.6,0.582,5.977,-126.1,158.83,7.627,5.22016
1.48325e+09,7,01,01,1.326,5.96,4.39,168.74,0.041,-0.079,0.581,2.873,146.6,1.044,6.285,162.3,0.542,6.008,-126.26,158.59,7.627,5.13487
1.48326e+09,8,01,01,1.324,5.91,4.372,167.3,0.039,-0.081,0.59,2.921,150.41,1.05,6.28,161.42,0.51,5.983,-126.62,158.37,7.627,5.07644
1.48326e+09,9,01,01,1.323,5.896,4.37,166.29,0.036,-0.082,0.581,2.909,155.21,1.089,6.007,158.44,0.476,5.982,-126.47,158.2,7.627,5.05677
1.48326e+09,10,01,01,1.324,5.907,4.376,165.58,0.032,-0.084,0.577,2.913,158.24,1.104,5.99,158.09,0.447,5.992,-127.04,158.11,7.627,5.07387
1.48327e+09,11,01,01,1.327,5.934,4.385,165.06,0.028,-0.086,0.551,2.844,162.75,1.132,5.937,157.67,0.419,5.998,-127.42,158.11,7.627,5.12018
1.48327e+09,12,01,01,1.334,6.008,4.485,164.66,0.015,-0.079,0.541,2.879,167.07,1.152,5.995,157.26,0.396,5.901,-127.55,158.21,7.627,5.23887
1.48328e+09,13,01,01,1.345,6.043,4.505,165.74,0.009,-0.081,0.542,2.874,170.03,1.172,6.043,158.83,0.377,5.786,-127.72,159.13,7.627,5.35665
1.48328e+09,14,01,01,1.356,6.091,4.549,166.82,0.004,-0.08,0.504,2.773,174.46,1.205,6.015,160.36,0.361,5.704,-128.13,160.56,7.627,5.48787
1.48328e+09,15,01,01,1.356,6.121,4.567,167.99,0,-0.081,0.472,2.655,178.95,1.143,5.744,159.58,0.434,8.852,176.15,163.25,7.627,5.5149
1.48329e+09,16,01,01,1.345,6.13,4.58,169.01,-0.003,-0.079,0.451,2.598,-178,1.221,5.995,163.04,0.338,5.657,-129.84,167.04,7.627,5.43377
1.48329e+09,17,01,01,1.327,6.123,4.588,169.97,-0.006,-0.077,0.437,2.587,-174.66,1.206,5.978,163.76,0.336,5.668,-130.84,168.94,7.627,5.28326
1.48329e+09,18,01,01,1.303,6.106,4.587,171.07,-0.009,-0.074,0.405,2.496,-170.54,1.162,6.144,161.93,0.4,4.391,-129.14,170.01,7.627,5.07974
1.4833e+09,19,01,01,1.272,6.087,4.583,172.15,-0.009,-0.071,0.359,2.364,-174.38,1.136,6.102,163.09,0.444,4.456,-131,170.69,7.627,4.82585
1.4833e+09,20,01,01,1.236,6.067,4.589,173.26,-0.007,-0.068,0.3,2.175,-177.63,1.108,6.011,164.06,0.457,4.417,-131.05,171.14,7.627,4.54158
1.4833e+09,21,01,01,1.198,6.043,4.608,174.55,-0.004,-0.062,0.252,2.044,176.64,1.064,5.941,164.35,0.487,4.475,-132.71,171.5,7.627,4.24974
1.48331e+09,22,01,01,1.159,6.012,4.631,176.05,-0.002,-0.057,0.206,1.887,173.14,1.009,5.949,163.71,0.531,4.44,-135.23,171.83,7.627,3.95714
1.48331e+09,23,01,01,1.119,5.973,4.652,177.68,-0.001,-0.051,0.169,1.766,168.04,0.966,5.858,164.11,0.539,4.504,-134.42,172.13,7.627,3.66479
1.48332e+09,0,02,01,1.077,5.926,4.668,179.32,0,-0.046,0.131,1.609,163.88,0.922,5.74,164.42,0.541,4.577,-133.37,172.41,7.627,3.36813
1.48332e+09,1,02,01,1.034,5.87,4.669,-179.13,0,-0.041,0.113,1.572,157.29,0.875,5.664,164.6,0.539,4.629,-132.3,172.66,6.934,3.07521
1.48332e+09,2,02,01,0.991,5.804,4.651,-177.7,0.001,-0.037,0.093,1.461,150.96,0.83,5.553,164.59,0.533,4.68,-131.21,172.86,6.934,2.793
1.48333e+09,3,02,01,0.948,5.731,4.619,-176.42,0.002,-0.034,0.078,1.392,145.41,0.789,5.446,164.8,0.519,4.686,-129.5,173.03,6.934,2.52373
1.48333e+09,4,02,01,0.906,5.65,4.575,-175.29,0.002,-0.031,0.061,1.306,138.05,0.748,5.314,164.48,0.508,4.704,-128.46,173.16,6.934,2.27248
1.48333e+09,5,02,01,0.866,5.564,4.523,-174.33,0.002,-0.028,0.047,1.237,129.87,0.708,5.186,164.04,0.496,4.703,-127.46,173.25,6.934,2.04465
1.48334e+09,6,02,01,0.826,5.472,4.464,-173.62,0.002,-0.026,0.039,1.16,123.12,0.67,5.069,163.49,0.481,4.683,-126.55,173.32,6.934,1.82937
1.48334e+09,7,02,01,0.788,5.365,4.351,-173.37,0.004,-0.025,0.058,1.306,123.09,0.638,4.981,163.3,0.459,4.637,-125.17,173.35,6.303,1.63237
1.48334e+09,8,02,01,0.754,5.232,4.17,-173.88,0.008,-0.025,0.092,1.5,118.57,0.605,4.888,162.7,0.439,4.589,-124.48,173.33,6.303,1.45749
1.48335e+09,9,02,01,0.632,4.717,3.668,-175.51,0.013,-0.024,0.128,1.652,114.59,0.5,4.489,162.39,0.364,4.221,-123.63,173.24,5.73,0.923201
1.48335e+09,10,02,01,0.61,4.489,3.409,-178.95,0.022,-0.024,0.175,1.807,109.31,0.473,4.359,162.26,0.342,4.185,-122.21,172.95,5.73,0.818475
1.48335e+09,11,02,01,0.597,4.245,3.185,175.25,0.031,-0.021,0.226,1.958,105.51,0.454,4.162,163.57,0.308,4.35,-118.16,172.29,5.73,0.741349
1.48336e+09,12,02,01,0.592,4.013,3.015,166.89,0.039,-0.017,0.276,2.101,101.19,0.377,4.676,166.33,0.287,4.38,-117.05,171.19,5.209,0.689142
1.48336e+09,13,02,01,0.587,3.833,2.922,157.78,0.044,-0.013,0.303,2.181,98.25,0.324,4.934,166.11,0.263,4.433,-115.96,169.66,5.209,0.647159
1.48337e+09,14,02,01,0.582,3.707,2.875,149.67,0.046,-0.01,0.317,2.23,97.49,0.292,3.206,148.17,0.286,4.938,169.46,167.62,5.209,0.615268
1.48337e+09,15,02,01,0.578,3.62,2.848,143.09,0.047,-0.009,0.326,2.265,96.15,0.331,3.378,149.76,0.247,5.062,168.34,165,3.914,0.592598
1.48337e+09,16,02,01,0.577,3.565,2.832,138.22,0.049,-0.008,0.335,2.306,95.02,0.324,3.476,151.68,0.226,5.027,172.22,142.97,3.914,0.581577
1.48338e+09,17,02,01,0.58,3.537,2.828,134.96,0.05,-0.008,0.349,2.365,95.78,0.423,3.856,157.1,0.14,4.649,-100.67,141.21,3.914,0.583025
1.48338e+09,18,02,01,0.586,3.533,2.836,133.06,0.051,-0.008,0.354,2.377,95.68,0.36,3.983,168.92,0.238,3.668,126.47,141.96,3.914,0.594477
1.48338e+09,19,02,01,0.596,3.554,2.858,132.36,0.052,-0.008,0.364,2.406,97.06,0.444,3.958,157.52,0.07,3.037,46.39,143.8,4.305,0.618594
