time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.51E+09,0,1,1,1.305,6.876,5.844,127.98,0.021,-0.014,0.06,1.435,107.83,1.186,6.544,116,0.542,5.372,-154.02,124.29,7.627,5.7379
1.51E+09,1,1,1,1.283,6.828,5.673,128.31,0.029,-0.016,0.106,1.587,106.98,1.159,6.535,115.96,0.54,5.396,-153.14,124.08,7.627,5.50735
1.51E+09,2,1,1,1.26,6.736,5.365,128.57,0.042,-0.02,0.179,1.804,106.97,1.126,6.536,115.96,0.537,5.41,-152.44,123.92,7.627,5.2401
1.51E+09,3,1,1,1.239,6.588,5.017,128.6,0.054,-0.024,0.271,2.073,106.57,1.086,6.548,116.05,0.531,5.407,-151.96,123.81,7.627,4.95555
1.51E+09,4,1,1,1.226,6.371,4.624,128.14,0.071,-0.031,0.383,2.333,107.98,1.041,6.537,116.21,0.52,5.466,-151.31,123.71,7.627,4.69229
1.51E+09,5,1,1,1.222,6.104,4.327,127.06,0.082,-0.036,0.499,2.598,108.78,0.995,6.482,116.41,0.504,5.511,-150.69,123.56,7.627,4.46635
1.51E+09,6,1,1,1.23,5.829,4.144,125.54,0.089,-0.04,0.636,2.939,109.91,0.935,6.498,116.79,0.482,5.546,-149.94,123.34,7.627,4.32116
1.51E+09,7,1,1,1.231,5.62,4.031,123.96,0.094,-0.04,0.661,2.971,108.37,0.929,6.171,116.94,0.461,5.53,-149.96,123.15,7.627,4.173
1.51E+09,8,1,1,1.215,5.53,4.006,122.65,0.092,-0.035,0.647,2.98,104.91,0.931,5.917,117.94,0.435,5.547,-149.44,123.07,7.627,4.00013
1.51E+09,9,1,1,1.213,5.53,4.032,122,0.089,-0.03,0.591,2.859,101.35,0.967,5.722,117.62,0.43,5.591,-149.92,123.19,7.627,3.98697
