time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.5463e+09,0,01,01,2.436,6.652,5.373,154.25,0.092,-0.121,1.845,5.185,138.63,1.512,7.426,-176.9,0.287,8.681,104.54,165.68,7.627,19.3421
1.5463e+09,1,01,01,2.531,6.769,5.442,154.81,0.1,-0.122,1.93,5.214,138.78,1.568,7.782,-176.39,0.284,8.707,103.86,170.03,7.627,21.2474
1.54631e+09,2,01,01,2.617,6.852,5.5,154.79,0.106,-0.125,2.02,5.304,139.32,1.584,7.97,-174.84,0.299,8.728,103.06,172.03,7.627,22.9943
1.54631e+09,3,01,01,2.7,6.913,5.554,154.27,0.109,-0.129,2.146,5.448,140.44,1.553,8.124,-173.36,0.326,8.201,92.5,172.54,7.627,24.6939
1.54632e+09,4,01,01,2.785,6.967,5.608,153.42,0.112,-0.134,2.222,5.502,140.81,1.573,8.266,-174.14,0.387,8.257,92.61,172.13,7.627,26.4784
1.54632e+09,5,01,01,2.876,7.028,5.67,152.38,0.114,-0.139,2.389,5.725,143.14,1.074,9.773,-178.41,0.985,6.961,-163.11,171.19,8.39,28.4843
1.54632e+09,6,01,01,3.088,7.271,5.912,151.45,0.112,-0.142,2.535,5.915,144.23,1.556,8.597,-173.76,0.676,8.669,96.11,170.15,8.39,33.9739
1.54633e+09,7,01,01,3.186,7.4,6.025,150.75,0.112,-0.144,2.604,6.014,144.16,1.583,8.621,-173.6,0.903,7.42,90.48,169.03,8.39,36.8061
1.54633e+09,8,01,01,3.295,7.537,6.131,150.23,0.115,-0.147,2.714,6.155,142.91,1.66,8.763,-175.69,0.81,8.351,90.74,167.89,8.39,40.0964
1.54633e+09,9,01,01,3.409,7.675,6.235,149.81,0.118,-0.149,2.784,6.232,142.39,1.752,8.847,-177.56,0.845,8.749,92.37,166.79,8.39,43.7047
1.54634e+09,10,01,01,3.524,7.838,6.414,149.84,0.114,-0.145,2.828,6.346,141.89,1.883,8.955,-179.31,0.889,8.851,92.99,166.01,9.229,47.695
1.54634e+09,11,01,01,3.644,7.969,6.518,150.18,0.116,-0.147,2.949,6.501,142.27,1.92,9.011,-178.56,0.888,9.138,94.38,165.45,9.229,51.8509
1.54634e+09,12,01,01,3.778,8.103,6.621,150.86,0.12,-0.15,3.036,6.574,141.48,2.069,9.168,-179.62,0.725,9.076,88.89,164.57,9.229,56.6716
1.54635e+09,13,01,01,3.958,8.268,6.786,152.82,0.114,-0.157,3.268,6.817,147.49,1.946,10.114,-179.47,0.579,10.396,100.4,163.63,9.229,63.467
1.54635e+09,14,01,01,4.202,8.471,6.959,156.19,0.103,-0.173,3.693,7.29,156.76,1.311,10.51,-165.39,0.766,12.494,153.33,163.96,9.229,73.2897
1.54635e+09,15,01,01,4.476,8.681,7.117,160.4,0.089,-0.196,4.06,7.613,163.67,0.848,12.542,-171.42,0.737,10.381,-154.54,166.18,10.152,85.2209
1.54636e+09,16,01,01,4.744,8.885,7.296,164.98,0.07,-0.214,4.374,7.873,169.13,0.876,12.073,-156.57,0.611,12.695,137.97,169.92,10.152,97.9812
1.54636e+09,17,01,01,4.962,9.05,7.438,169.29,0.045,-0.227,4.603,8.07,174.95,0.824,12.128,138.89,0.614,13.674,168.99,173.47,10.152,109.184
1.54637e+09,18,01,01,4.999,8.697,7.099,173.22,0.018,-0.272,4.731,7.792,178.53,0.757,11.972,138.66,0.369,13.759,158.52,175.96,10.152,106.496
1.54637e+09,19,01,01,5.043,8.935,7.295,175.3,0.003,-0.256,4.764,7.949,179.76,0.672,11.696,138.93,0.663,13.78,151.32,176.4,10.152,111.344
1.54637e+09,20,01,01,4.814,8.829,7.195,176.12,-0.001,-0.244,4.519,7.819,179.64,0.717,13.683,158.77,0.609,11.699,139.16,175.79,10.152,100.258
1.54638e+09,21,01,01,4.477,8.544,6.946,176.17,0,-0.234,4.177,7.535,178.97,0.969,12.476,151.54,0.395,10.467,-140.03,174.94,10.152,83.9134
1.54638e+09,22,01,01,4.249,8.399,6.839,175.43,0.006,-0.219,3.882,7.348,176.88,1.056,12.355,158.6,0.491,11.592,-151.69,173.87,10.152,74.3014
1.54638e+09,23,01,01,4.063,8.313,6.772,174.46,0.013,-0.205,3.53,7.113,174.64,1.186,11.738,154.46,0.724,11.464,-165.04,172.97,9.229,67.2431
1.54639e+09,0,02,01,3.906,8.26,6.726,173.56,0.019,-0.192,3.171,6.801,171.3,1.323,11.55,159.35,1.131,10.573,-165.44,172.32,9.229,61.7505
1.54639e+09,1,02,01,3.769,8.215,6.682,172.68,0.025,-0.182,3.028,6.759,169.27,1.41,11.52,166.37,0.85,10.152,-165.7,171.81,9.229,57.1816
1.54639e+09,2,02,01,3.654,8.173,6.64,171.86,0.03,-0.174,2.642,6.291,166.19,1.869,10.799,170.97,1.457,7.275,-148.51,171.31,9.229,53.4706
1.5464e+09,3,02,01,3.557,8.136,6.598,171.45,0.035,-0.167,2.563,6.249,165.49,1.773,10.784,170.79,1.407,7.201,-148.43,170.97,9.229,50.44
1.5464e+09,4,02,01,3.482,8.1,6.526,171.78,0.042,-0.165,2.207,5.699,161.88,2.495,8.931,-177.36,0.586,10.922,-114.29,170.9,9.229,48.1214
1.54641e+09,5,02,01,3.423,8.099,6.519,173.14,0.045,-0.158,2.105,5.617,158.91,2.44,8.771,-176.07,0.809,10.669,-115.35,171.13,9.229,46.4988
1.54641e+09,6,02,01,3.686,8.468,6.801,175.5,0.049,-0.159,1.951,5.351,155.7,2.742,8.962,-177,1.121,10.707,-115.21,171.69,10.152,56.3751
1.54641e+09,7,02,01,3.602,8.444,6.77,177.84,0.054,-0.152,1.84,5.207,150.31,2.635,8.816,-177.91,1.365,10.086,-116.36,172.4,10.152,53.6824
1.54642e+09,8,02,01,3.481,8.346,6.686,179.52,0.061,-0.142,1.729,5.046,144.13,2.461,8.87,-178.78,1.531,8.943,-116.12,173.14,10.152,49.5544
1.54642e+09,9,02,01,3.089,7.86,6.244,179.87,0.071,-0.131,1.659,4.935,137.11,2.091,8.255,-177.15,1.432,8.65,-115.88,173.85,9.229,36.7498
1.54642e+09,10,02,01,2.984,7.706,6.079,178.76,0.088,-0.123,1.614,4.768,130.15,1.995,8.016,-177.37,1.415,8.758,-115.42,174.57,9.229,33.6219
1.54643e+09,11,02,01,2.875,7.533,5.922,176.35,0.101,-0.112,1.653,4.812,124.62,1.845,7.789,-177.16,1.388,8.793,-115.6,175.29,9.229,30.5098
1.54643e+09,12,02,01,2.77,7.353,5.777,172.53,0.111,-0.099,1.646,4.773,119.14,1.733,7.577,-177.39,1.325,8.782,-115.17,176.04,8.39,27.6452
1.54643e+09,13,02,01,2.664,7.216,5.69,168.44,0.115,-0.083,1.547,4.638,111.69,1.682,7.329,-179.8,1.26,8.745,-114.78,177.02,8.39,25.0935
1.54644e+09,14,02,01,2.561,7.118,5.623,164.63,0.117,-0.067,1.398,4.447,105.54,1.571,7.146,-179.37,1.196,8.692,-114.48,-113.48,8.39,22.8756
1.54644e+09,15,02,01,2.464,7.052,5.609,160.93,0.111,-0.052,1.249,4.259,99.94,1.482,7.057,-179.46,1.134,8.622,-114.29,-113.4,8.39,20.9792
1.54644e+09,16,02,01,2.379,7.005,5.621,156.79,0.104,-0.04,0.984,3.793,92.84,1.402,6.983,-179.54,1.07,8.533,-114.16,-113.36,7.627,19.4264
