time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.48323e+09,0,01,01,1.15,6.229,4.792,163.72,0.001,-0.052,0.181,1.789,178.09,0.896,5.391,159.02,0.55,8.486,144.57,151.19,7.627,4.03655
1.48323e+09,1,01,01,1.158,6.316,4.853,161.73,0,-0.053,0.21,1.914,-176.57,0.803,5.298,162.29,0.698,7.756,142.68,148.97,7.627,4.15007
1.48324e+09,2,01,01,1.189,6.397,4.86,160.3,-0.002,-0.057,0.263,2.111,-168.69,1.094,6.297,152.51,0.284,5.061,-92.11,148.68,7.627,4.43135
1.48324e+09,3,01,01,1.227,6.43,4.789,159.98,-0.008,-0.065,0.33,2.284,-161.35,0.812,7.657,143.45,0.781,5.442,161.84,149.28,7.627,4.74347
1.48324e+09,4,01,01,1.258,6.385,4.658,161.01,-0.018,-0.073,0.408,2.464,-155.44,1.055,6.121,155.26,0.455,8.868,139.51,150.66,7.627,4.95129
1.48325e+09,5,01,01,1.275,6.256,4.482,163.38,-0.03,-0.08,0.489,2.632,-148.75,1.145,6.424,152.85,0.26,4.815,-92.58,152.6,7.627,4.98326
1.48325e+09,6,01,01,1.37,6.289,4.468,166.72,-0.044,-0.084,0.58,2.814,-142.6,1.209,6.516,154.08,0.276,5.178,-92.45,154.73,7.627,5.78387
1.48325e+09,7,01,01,1.356,6.188,4.424,169.47,-0.046,-0.082,0.557,2.76,-143.35,1.189,6.447,156.11,0.326,4.85,-95.76,156.83,7.627,5.57527
1.48326e+09,8,01,01,1.329,6.15,4.485,171.61,-0.038,-0.076,0.455,2.539,-146.05,1.182,6.286,159.24,0.402,4.338,-96.33,158.7,7.627,5.32257
1.48326e+09,9,01,01,1.302,6.143,4.582,173.76,-0.03,-0.069,0.36,2.316,-151.74,1.104,5.983,159.93,0.361,8.742,173.06,160.4,7.627,5.10268
1.48326e+09,10,01,01,1.274,6.151,4.682,175.91,-0.023,-0.063,0.276,2.077,-156.64,1.07,5.863,160.96,0.376,8.711,172.95,162.1,7.627,4.89194
1.48327e+09,11,01,01,1.244,6.167,4.795,177.82,-0.018,-0.055,0.206,1.851,-160.34,0.903,5.288,161.37,0.638,8.183,166.73,163.94,7.627,4.67639
1.48327e+09,12,01,01,1.211,6.14,4.854,179.42,-0.013,-0.051,0.156,1.659,-165.29,1.072,5.882,163.76,0.541,4.831,-97.08,165.67,7.627,4.41217
1.48328e+09,13,01,01,1.175,6.142,4.921,-178.6,-0.01,-0.045,0.137,1.612,-171.54,1.03,5.89,164.14,0.533,4.845,-96.72,167,7.627,4.1551
1.48328e+09,14,01,01,1.14,6.123,4.934,-176.54,-0.007,-0.042,0.128,1.547,-176.25,0.988,5.879,164.32,0.535,4.906,-95.37,167.83,7.627,3.89915
1.48328e+09,15,01,01,1.11,6.086,4.921,-174.48,-0.005,-0.04,0.124,1.531,177.09,0.95,5.849,164.36,0.536,4.938,-93.86,168.31,7.627,3.67429
1.48329e+09,16,01,01,1.081,6.031,4.891,-172.65,-0.003,-0.038,0.122,1.529,171.5,0.914,5.798,164.16,0.534,4.948,-92.79,168.31,7.627,3.45332
1.48329e+09,17,01,01,1.049,5.96,4.844,-170.89,-0.001,-0.037,0.116,1.49,166.37,0.875,5.714,163.67,0.533,4.97,-92.42,168.03,6.934,3.21361
1.48329e+09,18,01,01,1.012,5.878,4.781,-169.12,0,-0.035,0.11,1.454,159.89,0.834,5.594,163.24,0.529,4.998,-92.26,167.81,6.934,2.94976
1.4833e+09,19,01,01,0.971,5.777,4.646,-167.59,0.003,-0.036,0.135,1.578,155.35,0.787,5.53,162.83,0.52,5.017,-92.28,167.84,6.934,2.66893
1.4833e+09,20,01,01,0.929,5.648,4.434,-166.78,0.009,-0.04,0.166,1.679,150.68,0.741,5.427,162.49,0.536,5.206,-90.98,168.01,6.934,2.38848
1.4833e+09,21,01,01,0.892,5.483,4.166,-167.27,0.017,-0.044,0.202,1.766,144.53,0.699,5.286,162.14,0.515,5.2,-91.04,168.18,6.934,2.13769
1.48331e+09,22,01,01,0.861,5.273,3.88,-169.81,0.027,-0.049,0.258,1.96,136.88,0.658,5.145,162.21,0.49,5.182,-91.03,168.29,6.303,1.9154
1.48331e+09,23,01,01,0.837,5.025,3.626,-174.91,0.037,-0.052,0.314,2.108,130.71,0.624,4.994,162.25,0.461,5.153,-90.98,168.32,6.303,1.72498
