time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.48E+09,0,1,1,1.343,6.434,4.627,178.69,0.018,-0.081,0.499,2.689,154.85,1.042,6.97,163.14,0.605,6.225,-108.15,160.52,7.627,5.68629
1.48E+09,1,1,1,1.325,6.287,4.509,176.58,0.022,-0.083,0.525,2.711,158.92,1.051,6.46,163.92,0.569,6.156,-108.28,160,7.627,5.40843
1.48E+09,2,1,1,1.308,6.167,4.409,175.28,0.02,-0.088,0.557,2.803,166.07,1.047,6.327,163.3,0.531,6.148,-108.19,159.78,7.627,5.16994
1.48E+09,3,1,1,1.297,6.082,4.392,174.4,0.013,-0.087,0.56,2.837,172.77,1.062,6.208,161.91,0.487,6.202,-107.5,159.79,7.627,5.01329
1.48E+09,4,1,1,1.299,6.027,4.39,173.55,0.005,-0.087,0.548,2.809,-179.1,1.085,6.105,160.9,0.455,6.188,-107.61,160.02,7.627,4.98328
1.48E+09,5,1,1,1.317,6.004,4.395,172.47,-0.002,-0.09,0.549,2.812,-172.53,1.118,6.066,160,0.427,6.138,-107.78,160.46,7.627,5.1028
1.48E+09,6,1,1,1.376,6.088,4.493,171.3,-0.01,-0.091,0.543,2.784,-164.43,1.195,6.107,159.37,0.41,6.143,-108.1,161.2,7.627,5.64817
1.48E+09,7,1,1,1.402,6.125,4.544,170.38,-0.013,-0.091,0.548,2.788,-163.91,1.232,6.171,159.57,0.386,6.068,-108.27,162.63,7.627,5.89927
1.48E+09,8,1,1,1.414,6.138,4.565,170.08,-0.014,-0.091,0.562,2.85,-165.55,1.246,6.202,160.1,0.363,6.003,-108.62,165.21,7.627,6.01342
1.48E+09,9,1,1,1.408,6.107,4.546,170.51,-0.013,-0.091,0.558,2.831,-167.04,1.246,6.17,161.49,0.343,5.941,-109.08,167.17,7.627,5.93238
1.48E+09,10,1,1,1.39,6.045,4.5,171.42,-0.012,-0.092,0.553,2.825,-168.62,1.232,6.088,163.14,0.327,5.851,-109.37,168.45,7.627,5.72298
1.48E+09,11,1,1,1.368,5.973,4.472,172.56,-0.01,-0.089,0.558,2.868,-169.97,1.209,6.032,164.7,0.315,5.761,-109.81,169.32,7.627,5.47723
1.48E+09,12,1,1,1.346,5.899,4.438,173.8,-0.012,-0.085,0.557,2.888,-171.19,1.193,5.943,167.04,0.281,5.913,-109.88,169.97,7.627,5.23678
1.48E+09,13,1,1,1.32,5.804,4.401,174.59,-0.011,-0.083,0.492,2.73,-171.51,1.199,5.713,169.45,0.25,6.133,-111.12,170.22,7.627,4.95532
1.48E+09,14,1,1,1.279,5.723,4.364,175.46,-0.01,-0.08,0.423,2.549,-172.98,1.119,5.871,165,0.247,6.085,-112.08,170.58,7.627,4.58734
1.48E+09,15,1,1,1.222,5.658,4.33,176.56,-0.009,-0.075,0.367,2.397,-174.1,1.073,5.763,165.82,0.248,6.044,-112.8,171.06,7.627,4.14001
1.48E+09,16,1,1,1.157,5.599,4.299,177.99,-0.008,-0.068,0.303,2.196,-174.68,1.016,5.631,166.31,0.364,4.371,-110.52,171.53,6.934,3.6726
1.48E+09,17,1,1,1.093,5.544,4.27,179.69,-0.008,-0.062,0.248,2.008,-175.02,0.976,5.414,168.73,0.424,4.274,-114.77,171.92,6.934,3.24534
1.48E+09,18,1,1,1.035,5.503,4.263,-178.53,-0.008,-0.056,0.204,1.847,-176.52,0.899,5.409,166.93,0.47,4.265,-119.1,172.16,6.934,2.88853
1.48E+09,19,1,1,0.988,5.461,4.237,-176.93,-0.005,-0.053,0.205,1.887,174.98,0.836,5.414,166.15,0.485,4.371,-119.42,172.21,6.934,2.61205
1.48E+09,20,1,1,0.95,5.413,4.183,-175.53,-0.001,-0.051,0.213,1.933,166.2,0.788,5.397,165.89,0.487,4.445,-118.58,172.13,6.934,2.39376
