time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.55E+09,0,1,1,2.755,6.988,5.6,151.13,0.108,-0.131,1.882,5.088,131.55,1.989,7.689,169.39,0.133,8.39,90.85,158.28,8.39,25.9892
1.55E+09,1,1,1,2.743,6.929,5.558,149.93,0.114,-0.128,1.913,5.08,131,1.938,7.744,169.49,0.125,8.39,90.34,158.72,8.39,25.5457
1.55E+09,2,1,1,2.707,6.877,5.524,149.12,0.114,-0.125,1.945,5.155,132.44,1.826,7.742,170.99,0.198,8.39,104.27,158.88,8.39,24.6929
1.55E+09,3,1,1,2.662,6.845,5.504,148.48,0.111,-0.122,1.905,5.086,132.99,1.798,7.821,169.15,0.194,8.39,103.79,158.63,8.39,23.7676
1.55E+09,4,1,1,2.622,6.841,5.499,147.98,0.107,-0.12,1.949,5.212,136.07,1.673,7.908,169.46,0.194,8.39,103.35,158.06,8.39,23.0452
1.55E+09,5,1,1,2.598,6.874,5.517,147.63,0.103,-0.118,1.888,5.16,137.34,1.697,7.987,166.33,0.317,7.149,89.71,157.29,7.627,22.7344
1.55E+09,6,1,1,2.744,7.161,5.74,147.58,0.1,-0.119,1.859,5.149,138.62,1.898,8.284,163.28,0.354,7.629,103.33,156.52,8.39,26.4203
1.55E+09,7,1,1,2.753,7.314,5.829,147.26,0.099,-0.113,1.721,4.999,133.31,2.062,8.217,161.8,0.386,7.18,89.03,155.77,8.39,27.1621
1.55E+09,8,1,1,2.798,7.499,5.971,146.41,0.099,-0.105,1.532,4.758,125.7,2.259,8.136,159.65,0.386,7.627,101.86,154.9,8.39,28.767
1.55E+09,9,1,1,2.883,7.682,6.128,145.88,0.101,-0.097,1.399,4.529,119.49,2.475,8.15,156.25,0.477,5.514,66.62,154.34,9.229,31.2867
1.55E+09,10,1,1,2.991,7.855,6.288,146.01,0.104,-0.09,1.365,4.538,113.78,2.623,8.202,156.22,0.254,6.934,75.91,154.48,9.229,34.433
1.55E+09,11,1,1,3.124,8.063,6.489,146.88,0.105,-0.083,1.302,4.464,108.21,2.804,8.302,156.35,0.272,6.934,75.57,155.36,9.229,38.558
1.55E+09,12,1,1,3.287,8.315,6.717,148.5,0.105,-0.077,1.18,4.239,102.1,3.045,8.395,155.91,0.367,5.258,54.28,157.5,9.229,44.0208
1.55E+09,13,1,1,3.437,8.519,6.872,150.52,0.105,-0.085,1.432,4.686,117.1,3.066,8.923,159.95,0.601,5.41,64.22,161.66,10.152,49.311
1.55E+09,14,1,1,3.478,8.659,6.982,153.16,0.092,-0.097,1.611,5.078,133.89,3.082,8.972,158.71,0,1,0,168.1,10.152,51.3243
1.55E+09,15,1,1,3.411,8.695,6.994,156.03,0.075,-0.107,1.855,5.596,155.43,2.862,9.194,156.3,0,1,0,170.87,10.152,49.5712
1.55E+09,16,1,1,3.3,8.607,6.857,159.27,0.057,-0.121,2.251,6.313,170.48,2.381,9.267,146.74,0.343,9.229,-156.74,172.54,10.152,45.9278
1.55E+09,17,1,1,3.195,8.419,6.629,163.05,0.032,-0.139,2.443,6.605,178.63,2.056,8.852,138.69,0.045,10.152,-140.88,174.45,10.152,42.1113
1.55E+09,18,1,1,2.978,7.831,6.001,167.93,-0.008,-0.174,2.324,6.052,-174.46,1.861,8.242,138.55,0.042,10.78,-109.97,176.93,9.229,34.0301
1.55E+09,19,1,1,3.084,7.455,5.683,173.62,-0.044,-0.216,2.678,5.942,-174.58,1.525,8.363,134.36,0.059,10.937,-110.1,177.22,9.229,34.7434
