time,hour,day,month,VHM0,VTM10,VTM02,VMDR,VSDX,VSDY,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,VHM0_SW2,VTM01_SW2,VMDR_SW2,VPED,VTPK,wavepower
1.51476e+09,0,01,01,1.013,6.254,4.818,112.93,0.036,0.004,0.16,1.656,67.09,0.869,6.153,95.04,0.494,4.917,-151.45,109.15,7.627,3.14465
1.51477e+09,1,01,01,1.003,6.14,4.506,111.05,0.048,0.009,0.226,1.846,68.69,0.853,6.153,95.16,0.477,4.879,-151.71,109.07,7.627,3.02668
1.51477e+09,2,01,01,0.998,5.974,4.202,108.7,0.062,0.012,0.301,2.059,73.18,0.834,6.123,95.25,0.457,4.85,-151.94,108.93,7.627,2.91556
1.51478e+09,3,01,01,0.995,5.757,3.961,106.16,0.073,0.011,0.376,2.252,76.82,0.812,6.047,95.32,0.434,4.838,-152.03,108.71,7.627,2.79279
1.51478e+09,4,01,01,0.995,5.517,3.801,103.68,0.08,0.008,0.449,2.462,82.44,0.779,6.108,93.55,0.409,4.819,-152.27,108.38,7.627,2.67636
1.51478e+09,5,01,01,1.004,5.281,3.7,101.5,0.085,0.003,0.531,2.684,86.11,0.748,6.062,92.62,0.382,4.815,-152.45,107.94,6.934,2.60843
1.51479e+09,6,01,01,1.024,5.075,3.649,99.89,0.09,-0.001,0.617,2.918,91.13,0.723,5.953,90.76,0.354,4.817,-152.54,107.41,6.934,2.60755
1.51479e+09,7,01,01,1.053,4.927,3.629,98.41,0.095,-0.003,0.673,3.031,90.5,0.673,6.46,97.73,0.258,3.72,40.62,106.8,6.934,2.67692
1.51479e+09,8,01,01,1.087,4.854,3.646,97.03,0.099,-0.001,0.729,3.181,87.24,0.598,6.83,98.17,0.324,4.779,117.34,106.1,4.736,2.81031
1.5148e+09,9,01,01,1.136,4.837,3.718,96.03,0.1,0,0.756,3.244,85.92,0.559,6.937,102.14,0.497,4.597,110.24,105.34,5.209,3.05864
1.5148e+09,10,01,01,1.159,4.815,3.754,95.1,0.101,0.003,0.812,3.41,83.77,0.757,5.576,106.78,0.132,5.209,45.86,104.95,5.209,3.16927
1.5148e+09,11,01,01,1.185,4.803,3.774,94.3,0.103,0.007,0.83,3.431,82.1,0.787,5.525,107.54,0.137,5.209,46.06,105.36,5.209,3.3048
1.51481e+09,12,01,01,1.209,4.796,3.787,93.64,0.106,0.011,0.884,3.56,79.52,0.768,5.472,113.24,0.124,5.73,46.4,106.32,5.209,3.43501
1.51481e+09,13,01,01,1.244,4.786,3.793,93.48,0.112,0.012,0.993,3.746,83.72,0.663,5.583,120.87,0.175,6.564,58.71,107.13,5.73,3.62919
1.51482e+09,14,01,01,1.295,4.794,3.841,93.95,0.116,0.008,1.106,3.933,87.4,0.597,5.785,123.92,0.156,5.078,32,107.75,5.73,3.93943
1.51482e+09,15,01,01,1.362,4.814,3.875,94.93,0.125,0.003,1.217,4.071,90.93,0.44,6.131,133.05,0.241,7.332,109.1,108.48,5.73,4.37579
1.51482e+09,16,01,01,1.447,4.854,3.924,96.4,0.136,-0.003,1.357,4.235,95.46,0.362,6.798,133.06,0.175,5.053,32,109.27,5.73,4.98004
1.51483e+09,17,01,01,1.556,4.929,3.997,98.38,0.149,-0.013,1.488,4.362,98.76,0.205,6.569,144.7,0.189,7.874,132.1,110.11,5.73,5.84755
1.51483e+09,18,01,01,1.691,5.064,4.14,100.75,0.156,-0.023,1.629,4.519,101.71,0.298,3.825,25.28,0.249,7.066,146.57,111.16,5.73,7.0954
1.51483e+09,19,01,01,1.842,5.268,4.303,103.01,0.165,-0.033,1.782,4.713,104.11,0.311,3.865,26.92,0.223,7.832,145.16,112.66,5.73,8.75833
1.51484e+09,20,01,01,2.012,5.505,4.471,104.78,0.176,-0.044,1.954,4.92,106.03,0.166,8.631,144.77,0.159,7.058,158.37,113.76,6.303,10.9197
1.51484e+09,21,01,01,2.125,5.56,4.539,105.79,0.183,-0.053,2.063,4.976,107.29,0.169,8.584,146.44,0.138,8.539,63.45,114.26,6.303,12.3024
1.51484e+09,22,01,01,2.328,5.949,4.831,106.31,0.182,-0.061,2.247,5.292,108.54,0.339,8.062,63.23,0.143,9.458,84.11,113.69,6.934,15.7981
1.51485e+09,23,01,01,2.521,6.286,5.116,106.08,0.177,-0.066,2.41,5.569,108.86,0.375,7.962,63.47,0.344,9.463,76.88,110.75,6.934,19.5756
1.51485e+09,0,02,01,2.688,6.542,5.289,106.23,0.181,-0.076,2.559,5.757,109.58,0.497,9.551,77.91,0.4,7.955,63.78,109.06,7.627,23.1614
1.51485e+09,1,02,01,2.814,6.739,5.459,106.22,0.179,-0.078,2.657,5.904,109.64,0.614,9.673,78.68,0.417,7.956,64.07,108.17,7.627,26.1481
1.51486e+09,2,02,01,2.901,6.9,5.58,105.74,0.177,-0.079,2.709,5.999,109.49,0.749,9.823,80.46,0.431,7.971,64.24,106.25,7.627,28.4538
1.51486e+09,3,02,01,2.976,7.026,5.663,105.18,0.178,-0.08,2.747,6.053,109.23,0.871,9.917,81.66,0.439,7.985,64.32,103.09,8.39,30.4909
1.51487e+09,4,02,01,3.047,7.12,5.731,104.96,0.18,-0.081,2.783,6.093,109.03,0.962,9.98,82.36,0.441,7.992,64.34,101.29,8.39,32.3907
1.51487e+09,5,02,01,3.12,7.204,5.802,105.07,0.181,-0.081,2.857,6.202,108.72,1.036,9.563,76.4,0.201,11.368,132.58,100.25,8.39,34.362
1.51487e+09,6,02,01,3.169,7.248,5.838,105.34,0.183,-0.083,2.888,6.215,108.64,1.078,9.626,76.79,0.214,11.387,132.38,99.68,8.39,35.6664
